run,Accuracy,Precision,Recall,F1,AUC
1,0.8691275167785235,0.8011293537059885,0.7341351829988194,0.7598909158523233,0.8756641086186541
2,0.8691275167785235,0.7926167669746546,0.7547225501770956,0.7711258591149884,0.875
3,0.8624161073825504,0.7982074959261272,0.7025531286894924,0.7341312153193342,0.8707939787485242
4,0.8389261744966443,0.7370721726190477,0.688090318772137,0.7069092697319892,0.8951446280991735
5,0.8389261744966443,0.7379844961240309,0.6812278630460449,0.702,0.8420159386068478
6,0.825503355704698,0.7115322580645161,0.6935507674144038,0.7016557566422795,0.8643004722550176
7,0.8590604026845637,0.7763958482462419,0.7279368358913814,0.7476612903225806,0.8647432113341205
8,0.8456375838926175,0.7509300595238095,0.6990850059031877,0.7191213834931562,0.8735979929161748
9,0.8355704697986577,0.732163197680439,0.6654368358913814,0.687851386305821,0.8809031877213696
10,0.8389261744966443,0.7361275088547816,0.7361275088547816,0.7361275088547816,0.8727125147579694
Average,0.8483221476510068,0.7574159157719638,0.7082865997638725,0.7266474585637255,0.8714876033057852
